"","ArrDelay","Month","DayOfWeek","CRSDepTime","CRSArrTime","AirTime","Distance","TaxiIn","TaxiOut","DepDelay","Diverted","Carrier","Weather","NAS","Security","LateAircraft"
"357",-17,6,2,1825,2200,124,1046,5,11,-2,0,0,0,0,0,0
"358",-3,7,1,2050,2155,53,325,2,6,1,0,0,0,0,0,0
"359",-1,9,1,1735,2045,97,762,8,26,-2,0,0,0,0,0,0
"360",81,7,7,901,1148,91,612,4,20,73,0,1,0,1,0,0
"361",-10,10,3,1330,1556,50,297,21,10,-5,0,0,0,0,0,0
"362",25,3,5,1105,1231,60,402,2,25,24,0,1,0,0,0,0
"363",-6,11,2,1205,1305,38,197,6,11,-1,0,0,0,0,0,0
"364",-11,1,6,730,927,31,134,8,9,-2,0,0,0,0,0,0
"365",-27,5,5,620,745,51,320,6,7,-6,0,0,0,0,0,0
"366",-2,11,3,2130,2316,79,545,6,19,0,0,0,0,0,0,0
"367",-15,4,3,1830,2020,80,647,10,6,-1,0,0,0,0,0,0
"368",-16,12,7,1207,1347,125,850,3,19,-3,0,0,0,0,0,0
"369",-6,10,5,1408,1719,107,819,5,8,5,0,0,0,0,0,0
"370",16,5,1,620,1120,149,1171,29,20,-2,0,0,0,1,0,0
"371",-1,6,2,715,842,65,366,13,12,-4,0,0,0,0,0,0
"372",-12,5,6,2010,2220,50,323,2,11,-5,0,0,0,0,0,0
"373",-18,11,4,717,837,110,642,4,10,-2,0,0,0,0,0,0
"374",-9,12,1,958,1235,131,957,8,10,-1,0,0,0,0,0,0
"375",-16,5,6,1341,1622,125,866,6,20,-6,0,0,0,0,0,0
"376",2,3,3,1803,1949,143,964,5,24,-4,0,0,0,0,0,0
"377",-3,6,4,630,750,56,342,4,16,1,0,0,0,0,0,0
"378",-4,1,1,829,939,54,209,3,14,-5,0,0,0,0,0,0
"379",-3,5,5,1128,1239,44,291,5,26,-7,0,0,0,0,0,0
"380",-6,2,2,855,945,35,177,7,5,-3,0,0,0,0,0,0
"381",9,4,7,2030,2238,111,679,8,19,-1,0,0,0,0,0,0
"382",-9,12,3,1300,1410,54,303,5,7,-5,0,0,0,0,0,0
"383",15,2,2,2030,2105,16,49,7,14,13,0,0,0,0,0,1
"384",6,8,4,1009,1157,75,493,5,31,3,0,0,0,0,0,0
"385",-8,4,4,1025,1330,89,726,6,24,-2,0,0,0,0,0,0
"386",26,9,2,1555,1805,79,544,18,50,9,0,0,0,1,0,1
"387",10,8,2,1005,1148,68,493,6,37,2,0,0,0,0,0,0
"388",-1,10,2,1540,1622,32,163,4,9,-4,0,0,0,0,0,0
"389",-11,4,2,604,1159,203,1739,8,16,-3,0,0,0,0,0,0
"390",-37,3,5,820,1550,226,2079,4,13,-10,0,0,0,0,0,0
"391",127,2,6,1640,1805,63,409,5,16,128,0,0,1,0,0,1
"392",-17,10,7,1150,1335,80,569,3,9,-4,0,0,0,0,0,0
"393",-20,3,3,1603,1629,50,264,10,16,-10,0,0,0,0,0,0
"394",-12,3,2,2035,2129,28,109,10,12,-8,0,0,0,0,0,0
"395",38,12,2,1535,2200,240,2165,7,14,42,0,1,0,0,0,1
"396",-10,4,1,650,850,95,753,10,10,-5,0,0,0,0,0,0
"397",-5,12,2,1420,1535,53,290,3,13,1,0,0,0,0,0,0
"398",148,12,7,1745,2050,196,1302,5,192,0,0,0,0,1,0,0
"399",-9,6,5,1520,1705,87,534,4,9,-4,0,0,0,0,0,0
"400",-5,8,7,800,1115,111,809,8,12,-1,0,0,0,0,0,0
"401",-3,3,2,905,1003,146,1009,6,16,7,0,0,0,0,0,0
"402",25,10,5,1658,1826,61,419,5,13,34,0,1,0,0,0,0
"403",19,5,2,1255,1355,42,279,3,8,26,0,1,0,0,0,1
"404",18,4,4,1345,1625,132,978,4,19,23,0,0,0,1,0,1
"405",-3,8,4,910,1242,242,2007,4,17,6,0,0,0,0,0,0
"406",-9,3,1,945,1310,125,957,5,8,-2,0,0,0,0,0,0
"407",52,3,2,1800,1940,76,431,18,16,42,0,0,0,1,0,1
"408",7,8,4,1030,1515,202,1562,13,13,4,0,0,0,0,0,0
"409",15,10,7,2016,2121,48,207,7,11,14,0,0,0,1,0,1
"410",0,9,4,1045,1349,160,1069,4,25,-5,0,0,0,0,0,0
"411",-8,9,7,1420,1637,116,781,10,10,-7,0,0,0,0,0,0
"412",-27,10,2,730,845,44,209,4,12,-12,0,0,0,0,0,0
"413",-10,5,1,840,1005,57,364,11,10,-3,0,0,0,0,0,0
"414",-9,5,6,1720,1835,59,410,2,5,0,0,0,0,0,0,0
"415",-3,5,2,1425,1557,117,851,15,13,4,0,0,0,0,0,0
"416",-11,10,5,1555,2005,172,1302,3,9,-5,0,0,0,0,0,0
"417",-1,11,1,955,1237,91,558,5,14,-9,0,0,0,0,0,0
